Codigo	Descripcion	Precio Costo	Precio Venta
7790975198675	..CHANDON APERITIF 750 CC	$13,166.66	$16,900.00
7790975198712	..CHANDON CUVEE BRUT NATURE ROSE	$13,166.66	$16,900.00
7790975198651	..CHANDON DELICE 750 CC	$13,166.66	$16,900.00
7790975204307	..CHANDON DELICE ROSE	$13,166.66	$16,900.00
7790975198613	..CHANDON EXTRA BRUT 750 CC	$13,166.66	$16,900.00
7790975198590	..CHANDON ROSE 750 CC	$13,166.66	$16,900.00
7790975198736	..ESPUMANTE CHANDON CUVE 750 CC RES D NOIRS	$13,166.66	$16,900.00
7790975198637	..ESPUMANTE CHANDON DEMI SEC 750 CC	$13,166.66	$16,900.00
7798054013352	361 1.5 L.	$1,766.67	$2,400.00
7790310985137	3D 143 G	$3,513.58	$5,000.00
7790310985113	3D 43 G	$1,317.59	$1,900.00
7790310985830	3D 85G.	$2,342.38	$3,300.00
7790310985120	3D 92 G	$1,461.54	$2,000.00
7790310983461	3D MEGA QUESO 23 G	$595.00	$900.00
4790450985830	3D QUESO 85 G	$1,953.00	$2,800.00
5	5	$5.00	$5.00
7791813555100	7 UP 2.25 L RET.	$2,191.03	$3,100.00
7791813444459	7UP	$2,500.00	$3,500.00
7791813777045	7UP 1.5 L DESC	$1,666.66	$2,500.00
7791813969488	7UP 100K CAL PET 1500 CC	$1,666.67	$2,500.00
7791813777052	7UP 2.25 L DESC	$1,085.00	$1,500.00
7791813777021	7UP LATA 340 CC	$646.86	$1,000.00
7791813421580	7UP LIM FREE 1500 CC	$1,398.41	$2,000.00
7791813444411	7up 1.5	$2,543.47	$3,600.00
7692200030319	9 DE ORO AZUCARADO 210 G	$644.74	$1,000.00
7792180009487	9 DE ORO PEPAS C/MEMBRILLO 200 G	$644.73	$1,000.00
7793253005306	A AYUDIN COCINA GATILLO 500	$1,102.93	$4,400.00
7790520993076	A CERAMICOL AUTOBRILLO INCOL. 900 CC	$5,532.99	$7,800.00
7791625012228	ABRELATAS UÑA	$1,996.55	$2,900.00
7312040350209	ABSOLUT MANGO	$24,222.00	$33,900.00
7312040350179	ABSOLUT PEACH	$24,222.00	$33,900.00
7312040350254	ABSOLUT PEARS	$24,222.00	$33,900.00
7312040350056	ABSOLUT RASPBERRI	$24,222.00	$33,900.00
7312040552726	ABSOLUT WATRMELON	$24,222.00	$33,910.80
7790070012050	ACEITE 900 CC GIRASOL COCINERO	$3,114.75	$4,400.00
7790060023684	ACEITE COCINERO 1.5 L GIRASOL	$5,061.99	$7,200.00
7790070265104	ACEITE COCINERO OLIVA 250 CC EXTRA VIRGEN	$5,481.51	$7,700.00
7790070265128	ACEITE COCINERO OLIVA 250 CC PURO	$4,687.08	$6,600.00
